id,company_name,announcement_text,announcement_date,source,is_verified,verification_source,risk_score,created_at
32,ONGC Limited,ONGC Limited announces Repurpose open-source e-services worth ₹6627 crores. Project timeline: 5 years.,2025-07-15,NSE Official,True,NSE Website,10.3,2025-07-15 11:50:00
33,ITC Limited,ITC Limited announces Re-intermediate open-source experiences worth ₹1102 crores. Project timeline: 1 years.,2024-06-24,NSE Official,True,Stock Exchange Filing,13.5,2024-06-24 12:28:00
34,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Cultivate visionary methodologies worth ₹1318 crores. Project timeline: 3 years.,2024-11-29,Contract Announcement,True,Company Portal,10.7,2024-11-29 18:57:00
35,Asian Paints Limited,Asian Paints Limited announces Optimize seamless systems worth ₹15312 crores. Project timeline: 4 years.,2023-12-04,Government Press Release,True,Company Portal,22.8,2023-12-04 16:34:00
36,Crypto Dream Ltd,BREAKING: Crypto Dream Ltd promises 4135% guaranteed returns in 10 months. Immediate investment advised!,2023-09-08,Telegram Channel,False,No Record,99.7,2023-09-08 10:31:00
37,Wonder Mining Ltd,BREAKING: Wonder Mining Ltd promises 998% guaranteed returns in 1 months. Immediate investment advised!,2025-05-12,Fake News Site,False,Unverified Source,89.0,2025-05-12 16:56:00
38,HDFC Bank Limited,HDFC Bank Limited announces Evolve next-generation relationships worth ₹1630 crores. Project timeline: 5 years.,2023-12-08,Earnings Call,True,RBI Circular,17.0,2023-12-08 17:12:00
39,NextGen Profit Corp,BREAKING: NextGen Profit Corp promises 2965% guaranteed returns in 9 months. Immediate investment advised!,2024-01-04,WhatsApp Forward,False,No Record,94.6,2024-01-04 14:39:00
40,Infosys Limited,Infosys Limited announces Incubate dot-com infrastructures worth ₹1022 crores. Project timeline: 3 years.,2025-02-18,Board Resolution,True,BSE Website,20.2,2025-02-18 13:59:00
41,Quick Money Corp,BREAKING: Quick Money Corp promises 565% guaranteed returns in 6 months. Immediate investment advised!,2024-03-14,WhatsApp Forward,False,No Record,94.1,2024-03-14 15:52:00
42,State Bank of India,State Bank of India announces Re-intermediate out-of-the-box systems worth ₹15047 crores. Project timeline: 1 years.,2023-09-17,Contract Announcement,True,Ministry of Finance,22.9,2023-09-17 13:44:00
43,Fake Corp Industries,BREAKING: Fake Corp Industries promises 1870% guaranteed returns in 1 months. Immediate investment advised!,2023-11-08,WhatsApp Forward,False,Denial Issued,99.3,2023-11-08 14:44:00
44,Asian Paints Limited,Asian Paints Limited announces Drive holistic applications worth ₹4444 crores. Project timeline: 3 years.,2023-09-19,Contract Announcement,True,Company IR,21.7,2023-09-19 14:35:00
45,ONGC Limited,ONGC Limited announces Morph transparent deliverables worth ₹14313 crores. Project timeline: 4 years.,2025-07-25,Company Filing,True,Company Portal,20.7,2025-07-25 11:42:00
46,ONGC Limited,ONGC Limited announces Orchestrate customized supply-chains worth ₹12671 crores. Project timeline: 1 years.,2024-04-22,Contract Announcement,True,SEBI EDIFAR,20.8,2024-04-22 11:19:00
47,Hindustan Unilever Limited,Hindustan Unilever Limited announces Exploit 24/7 communities worth ₹4834 crores. Project timeline: 1 years.,2025-06-16,Company Filing,True,SEBI EDIFAR,19.4,2025-06-16 12:23:00
48,ONGC Limited,ONGC Limited announces Syndicate visionary platforms worth ₹19600 crores. Project timeline: 3 years.,2025-05-10,Company Press Release,True,Stock Exchange Filing,21.2,2025-05-10 15:33:00
49,HDFC Bank Limited,HDFC Bank Limited announces Engage wireless schemas worth ₹1566 crores. Project timeline: 2 years.,2024-06-21,BSE Official,True,Ministry of Finance,23.5,2024-06-21 12:48:00
50,NextGen Profit Corp,BREAKING: NextGen Profit Corp promises 1005% guaranteed returns in 7 months. Immediate investment advised!,2025-01-19,Fake News Site,False,No Official Source,99.3,2025-01-19 12:08:00
51,ITC Limited,ITC Limited announces Repurpose visionary markets worth ₹1037 crores. Project timeline: 5 years.,2024-03-04,Company Filing,True,BSE Website,17.4,2024-03-04 15:14:00
52,Super Growth Technologies,BREAKING: Super Growth Technologies promises 734% guaranteed returns in 10 months. Immediate investment advised!,2023-10-30,WhatsApp Forward,False,Unverified Source,85.7,2023-10-30 09:08:00
53,Hindustan Unilever Limited,Hindustan Unilever Limited announces Productize proactive action-items worth ₹16461 crores. Project timeline: 2 years.,2024-12-20,Government Press Release,True,NSE Website,13.0,2024-12-20 13:38:00
54,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Streamline value-added action-items worth ₹12945 crores. Project timeline: 4 years.,2025-08-04,Contract Announcement,True,Stock Exchange Filing,14.2,2025-08-04 16:21:00
55,Asian Paints Limited,Asian Paints Limited announces Transition out-of-the-box e-commerce worth ₹3006 crores. Project timeline: 3 years.,2023-12-11,Government Press Release,True,BSE Website,15.8,2023-12-11 18:47:00
56,Wipro Limited,Wipro Limited announces Expedite robust bandwidth worth ₹3014 crores. Project timeline: 4 years.,2023-10-30,Government Press Release,True,Stock Exchange Filing,19.1,2023-10-30 09:34:00
57,Coal India Limited,Coal India Limited announces Maximize granular schemas worth ₹3096 crores. Project timeline: 4 years.,2025-01-26,Board Resolution,True,NSE Website,11.9,2025-01-26 17:14:00
58,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Iterate dynamic schemas worth ₹13517 crores. Project timeline: 2 years.,2025-01-24,Contract Announcement,True,RBI Circular,24.2,2025-01-24 18:07:00
59,Bajaj Finance Limited,Bajaj Finance Limited announces Optimize distributed roi worth ₹14675 crores. Project timeline: 4 years.,2023-12-07,Company Filing,True,Stock Exchange Filing,12.7,2023-12-07 17:56:00
60,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Extend virtual solutions worth ₹4662 crores. Project timeline: 4 years.,2024-02-23,Board Resolution,True,Company IR,23.9,2024-02-23 13:53:00
61,Crypto Dream Ltd,BREAKING: Crypto Dream Ltd promises 3432% guaranteed returns in 8 months. Immediate investment advised!,2024-03-25,Rumor Forum,False,No Record,86.5,2024-03-25 16:42:00
62,ITC Limited,ITC Limited announces Enhance frictionless paradigms worth ₹9332 crores. Project timeline: 1 years.,2024-06-16,Board Resolution,True,NSE Website,23.1,2024-06-16 17:03:00
63,Coal India Limited,Coal India Limited announces Harness intuitive niches worth ₹11775 crores. Project timeline: 5 years.,2025-06-25,Contract Announcement,True,Company IR,23.0,2025-06-25 15:16:00
64,State Bank of India,State Bank of India announces Leverage ubiquitous e-commerce worth ₹1470 crores. Project timeline: 1 years.,2023-12-10,NSE Official,True,SEBI EDIFAR,13.4,2023-12-10 18:04:00
65,Tata Consultancy Services,Tata Consultancy Services announces Redefine open-source e-services worth ₹13642 crores. Project timeline: 2 years.,2024-04-12,BSE Official,True,SEBI EDIFAR,14.7,2024-04-12 16:22:00
66,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Scale extensible bandwidth worth ₹6498 crores. Project timeline: 2 years.,2024-01-22,NSE Official,True,BSE Website,16.5,2024-01-22 12:25:00
67,Adani Enterprises Limited,Adani Enterprises Limited announces Whiteboard collaborative content worth ₹10329 crores. Project timeline: 4 years.,2025-04-16,Earnings Call,True,Stock Exchange Filing,19.0,2025-04-16 10:28:00
68,Infosys Limited,Infosys Limited announces Envisioneer wireless portals worth ₹11674 crores. Project timeline: 4 years.,2024-07-31,Government Press Release,True,Company Portal,24.9,2024-07-31 15:03:00
69,Adani Enterprises Limited,Adani Enterprises Limited announces Syndicate strategic synergies worth ₹6804 crores. Project timeline: 5 years.,2024-08-24,Company Press Release,True,NSE Website,22.2,2024-08-24 09:31:00
70,Adani Enterprises Limited,Adani Enterprises Limited announces Implement one-to-one interfaces worth ₹14084 crores. Project timeline: 3 years.,2024-09-14,Earnings Call,True,BSE Website,10.9,2024-09-14 18:13:00
71,Coal India Limited,Coal India Limited announces Streamline bleeding-edge channels worth ₹4979 crores. Project timeline: 5 years.,2025-02-11,BSE Official,True,NSE Website,12.7,2025-02-11 12:29:00
72,ITC Limited,ITC Limited announces Productize global systems worth ₹3663 crores. Project timeline: 3 years.,2024-01-07,Company Press Release,True,Ministry of Finance,18.3,2024-01-07 14:54:00
73,HDFC Bank Limited,HDFC Bank Limited announces Incubate one-to-one roi worth ₹7852 crores. Project timeline: 4 years.,2025-01-25,Board Resolution,True,NSE Website,16.6,2025-01-25 18:40:00
74,Wonder Mining Ltd,BREAKING: Wonder Mining Ltd promises 1723% guaranteed returns in 7 months. Immediate investment advised!,2024-04-17,WhatsApp Forward,False,Not Verified,86.3,2024-04-17 11:27:00
75,State Bank of India,State Bank of India announces Target value-added experiences worth ₹11436 crores. Project timeline: 2 years.,2025-06-29,NSE Official,True,Ministry of Finance,19.2,2025-06-29 12:49:00
76,Coal India Limited,Coal India Limited announces Cultivate scalable web-readiness worth ₹11085 crores. Project timeline: 5 years.,2024-08-19,Government Press Release,True,NSE Website,23.7,2024-08-19 14:20:00
77,Coal India Limited,Coal India Limited announces Deliver ubiquitous networks worth ₹7836 crores. Project timeline: 4 years.,2023-09-26,Board Resolution,True,NSE Website,13.8,2023-09-26 15:43:00
78,Asian Paints Limited,Asian Paints Limited announces Generate front-end e-tailers worth ₹3554 crores. Project timeline: 4 years.,2024-05-19,NSE Official,True,SEBI EDIFAR,22.8,2024-05-19 17:53:00
79,Bharti Airtel Limited,Bharti Airtel Limited announces Enhance best-of-breed users worth ₹7993 crores. Project timeline: 1 years.,2024-07-23,Company Filing,True,SEBI EDIFAR,10.6,2024-07-23 15:34:00
80,SkyHigh Returns Inc,BREAKING: SkyHigh Returns Inc promises 3323% guaranteed returns in 10 months. Immediate investment advised!,2025-03-24,Suspicious Website,False,No Record,97.9,2025-03-24 13:04:00
81,NextGen Profit Corp,BREAKING: NextGen Profit Corp promises 773% guaranteed returns in 9 months. Immediate investment advised!,2024-01-04,Telegram Channel,False,No Official Source,97.6,2024-01-04 10:16:00
82,Bharti Airtel Limited,Bharti Airtel Limited announces Re-intermediate turn-key e-commerce worth ₹920 crores. Project timeline: 5 years.,2023-09-09,Board Resolution,True,NSE Website,23.6,2023-09-09 17:36:00
83,Larsen & Toubro Limited,Larsen & Toubro Limited announces Implement sticky technologies worth ₹692 crores. Project timeline: 3 years.,2023-08-31,BSE Official,True,Stock Exchange Filing,12.3,2023-08-31 12:38:00
84,Infosys Limited,Infosys Limited announces Harness integrated roi worth ₹12025 crores. Project timeline: 3 years.,2025-01-23,Company Filing,True,SEBI EDIFAR,16.9,2025-01-23 16:28:00
85,Wonder Mining Ltd,BREAKING: Wonder Mining Ltd promises 3233% guaranteed returns in 1 months. Immediate investment advised!,2024-05-24,Fake Press Release,False,No Record,87.7,2024-05-24 17:10:00
86,Bharti Airtel Limited,Bharti Airtel Limited announces Seize mission-critical bandwidth worth ₹4192 crores. Project timeline: 3 years.,2024-07-21,BSE Official,True,Ministry of Finance,19.4,2024-07-21 16:58:00
87,Instant Rich Ltd,BREAKING: Instant Rich Ltd promises 1687% guaranteed returns in 5 months. Immediate investment advised!,2024-06-17,Fake News Site,False,Denial Issued,93.2,2024-06-17 13:40:00
88,Bharti Airtel Limited,Bharti Airtel Limited announces Seize dynamic eyeballs worth ₹10901 crores. Project timeline: 3 years.,2023-09-11,Government Press Release,True,Company Portal,17.9,2023-09-11 13:46:00
89,Adani Enterprises Limited,Adani Enterprises Limited announces Matrix holistic eyeballs worth ₹12996 crores. Project timeline: 5 years.,2024-06-03,Government Press Release,True,RBI Circular,23.5,2024-06-03 13:20:00
90,Instant Rich Ltd,BREAKING: Instant Rich Ltd promises 523% guaranteed returns in 10 months. Immediate investment advised!,2024-12-24,Unverified Blog,False,Not Verified,98.9,2024-12-24 10:37:00
91,State Bank of India,State Bank of India announces Cultivate user-centric deliverables worth ₹14402 crores. Project timeline: 5 years.,2023-11-15,Earnings Call,True,Company Portal,15.2,2023-11-15 16:47:00
92,Reliance Industries Limited,Reliance Industries Limited announces Iterate wireless models worth ₹997 crores. Project timeline: 1 years.,2023-10-05,Board Resolution,True,Company Portal,15.4,2023-10-05 17:58:00
93,Super Growth Technologies,BREAKING: Super Growth Technologies promises 702% guaranteed returns in 8 months. Immediate investment advised!,2024-05-12,Rumor Forum,False,Unverified Source,99.9,2024-05-12 15:33:00
94,Infosys Limited,Infosys Limited announces Syndicate front-end applications worth ₹16425 crores. Project timeline: 4 years.,2024-05-03,Government Press Release,True,Company IR,12.8,2024-05-03 18:29:00
95,Instant Rich Ltd,BREAKING: Instant Rich Ltd promises 2653% guaranteed returns in 1 months. Immediate investment advised!,2025-06-01,Fake Press Release,False,Unverified Source,89.5,2025-06-01 17:57:00
96,HDFC Bank Limited,HDFC Bank Limited announces Strategize best-of-breed interfaces worth ₹19280 crores. Project timeline: 1 years.,2025-08-16,Board Resolution,True,Ministry of Finance,20.7,2025-08-16 14:39:00
97,ONGC Limited,ONGC Limited announces Mesh bleeding-edge portals worth ₹12974 crores. Project timeline: 2 years.,2023-10-01,Government Press Release,True,RBI Circular,22.6,2023-10-01 10:13:00
98,ONGC Limited,ONGC Limited announces Aggregate value-added info-mediaries worth ₹886 crores. Project timeline: 5 years.,2024-03-23,Company Filing,True,Stock Exchange Filing,13.5,2024-03-23 09:43:00
99,Wonder Mining Ltd,BREAKING: Wonder Mining Ltd promises 2309% guaranteed returns in 12 months. Immediate investment advised!,2025-04-15,Unverified Blog,False,Not Verified,91.3,2025-04-15 11:53:00
100,Quick Money Corp,BREAKING: Quick Money Corp promises 4753% guaranteed returns in 9 months. Immediate investment advised!,2025-08-04,Fake News Site,False,Unverified Source,86.9,2025-08-04 10:56:00
101,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Matrix user-centric e-services worth ₹8346 crores. Project timeline: 3 years.,2025-01-15,BSE Official,True,BSE Website,15.3,2025-01-15 17:20:00
102,Bharti Airtel Limited,Bharti Airtel Limited announces Evolve plug-and-play web services worth ₹2851 crores. Project timeline: 1 years.,2024-08-05,Contract Announcement,True,BSE Website,20.1,2024-08-05 11:56:00
103,HDFC Bank Limited,HDFC Bank Limited announces Brand strategic architectures worth ₹4731 crores. Project timeline: 1 years.,2024-05-28,Company Filing,True,BSE Website,19.9,2024-05-28 17:35:00
104,Super Growth Technologies,BREAKING: Super Growth Technologies promises 2332% guaranteed returns in 2 months. Immediate investment advised!,2025-01-19,Rumor Forum,False,Unverified Source,94.6,2025-01-19 15:53:00
105,Bharti Airtel Limited,Bharti Airtel Limited announces Productize out-of-the-box e-markets worth ₹4264 crores. Project timeline: 5 years.,2024-10-22,Board Resolution,True,RBI Circular,24.6,2024-10-22 17:12:00
106,ONGC Limited,ONGC Limited announces Scale sticky roi worth ₹4011 crores. Project timeline: 3 years.,2024-12-31,NSE Official,True,SEBI EDIFAR,14.4,2024-12-31 11:22:00
107,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Redefine end-to-end metrics worth ₹12883 crores. Project timeline: 3 years.,2023-09-14,Board Resolution,True,Company IR,22.9,2023-09-14 12:44:00
108,HDFC Bank Limited,HDFC Bank Limited announces Redefine e-business functionalities worth ₹11801 crores. Project timeline: 3 years.,2024-06-27,Earnings Call,True,RBI Circular,23.4,2024-06-27 18:38:00
109,Larsen & Toubro Limited,Larsen & Toubro Limited announces Target end-to-end relationships worth ₹10369 crores. Project timeline: 5 years.,2024-10-24,NSE Official,True,BSE Website,15.4,2024-10-24 12:27:00
110,Fake Corp Industries,BREAKING: Fake Corp Industries promises 726% guaranteed returns in 10 months. Immediate investment advised!,2024-11-28,Fake News Site,False,Unverified Source,92.3,2024-11-28 17:35:00
111,HDFC Bank Limited,HDFC Bank Limited announces Optimize magnetic technologies worth ₹13176 crores. Project timeline: 4 years.,2025-05-18,Company Filing,True,RBI Circular,13.6,2025-05-18 17:34:00
112,ONGC Limited,ONGC Limited announces Incentivize bricks-and-clicks content worth ₹4349 crores. Project timeline: 4 years.,2024-03-23,Government Press Release,True,NSE Website,12.6,2024-03-23 15:12:00
113,Larsen & Toubro Limited,Larsen & Toubro Limited announces Empower real-time eyeballs worth ₹1862 crores. Project timeline: 1 years.,2024-04-07,Earnings Call,True,SEBI EDIFAR,23.9,2024-04-07 17:24:00
114,ITC Limited,ITC Limited announces Target dot-com info-mediaries worth ₹8159 crores. Project timeline: 3 years.,2024-02-26,Government Press Release,True,Ministry of Finance,11.8,2024-02-26 14:30:00
115,Quick Money Corp,BREAKING: Quick Money Corp promises 1488% guaranteed returns in 5 months. Immediate investment advised!,2024-01-04,WhatsApp Forward,False,Denial Issued,86.4,2024-01-04 17:04:00
116,Infosys Limited,Infosys Limited announces Mesh user-centric web-readiness worth ₹9782 crores. Project timeline: 1 years.,2024-09-13,Contract Announcement,True,Company Portal,21.1,2024-09-13 11:07:00
117,Adani Enterprises Limited,Adani Enterprises Limited announces Whiteboard holistic mindshare worth ₹14295 crores. Project timeline: 3 years.,2023-09-13,Government Press Release,True,BSE Website,12.0,2023-09-13 14:17:00
118,Miracle Pharma Inc,BREAKING: Miracle Pharma Inc promises 1150% guaranteed returns in 11 months. Immediate investment advised!,2023-10-20,Fake Press Release,False,No Official Source,89.7,2023-10-20 17:57:00
119,Hindustan Unilever Limited,Hindustan Unilever Limited announces Incubate ubiquitous e-business worth ₹6176 crores. Project timeline: 2 years.,2025-05-22,Company Filing,True,BSE Website,19.7,2025-05-22 18:19:00
120,Wipro Limited,Wipro Limited announces Embrace frictionless partnerships worth ₹16835 crores. Project timeline: 2 years.,2024-08-18,Board Resolution,True,SEBI EDIFAR,15.5,2024-08-18 14:05:00
121,Super Growth Technologies,BREAKING: Super Growth Technologies promises 2658% guaranteed returns in 11 months. Immediate investment advised!,2024-03-31,Suspicious Website,False,Denial Issued,93.2,2024-03-31 10:18:00
122,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Monetize b2b systems worth ₹7340 crores. Project timeline: 4 years.,2023-12-15,Company Press Release,True,Company IR,10.1,2023-12-15 14:48:00
123,Asian Paints Limited,Asian Paints Limited announces Enhance granular initiatives worth ₹18172 crores. Project timeline: 3 years.,2023-10-05,Government Press Release,True,Company IR,24.3,2023-10-05 14:03:00
124,State Bank of India,State Bank of India announces Engage real-time e-business worth ₹4253 crores. Project timeline: 1 years.,2025-06-09,BSE Official,True,Company IR,16.6,2025-06-09 15:35:00
125,Coal India Limited,Coal India Limited announces Disintermediate bleeding-edge e-services worth ₹13128 crores. Project timeline: 2 years.,2023-09-27,Company Press Release,True,SEBI EDIFAR,15.9,2023-09-27 15:25:00
126,Instant Rich Ltd,BREAKING: Instant Rich Ltd promises 4108% guaranteed returns in 6 months. Immediate investment advised!,2024-03-24,Telegram Channel,False,No Official Source,88.4,2024-03-24 13:36:00
127,Wonder Mining Ltd,BREAKING: Wonder Mining Ltd promises 911% guaranteed returns in 5 months. Immediate investment advised!,2024-12-26,Suspicious Website,False,No Record,88.3,2024-12-26 16:44:00
128,Coal India Limited,Coal India Limited announces Generate real-time niches worth ₹6191 crores. Project timeline: 2 years.,2024-06-07,Company Filing,True,Company IR,12.1,2024-06-07 14:52:00
129,Hindustan Unilever Limited,Hindustan Unilever Limited announces Enhance rich e-tailers worth ₹17454 crores. Project timeline: 2 years.,2024-08-02,Company Filing,True,Stock Exchange Filing,24.2,2024-08-02 11:49:00
130,ITC Limited,ITC Limited announces Grow b2b e-markets worth ₹19234 crores. Project timeline: 4 years.,2023-12-16,BSE Official,True,SEBI EDIFAR,17.3,2023-12-16 11:47:00
131,Wonder Mining Ltd,BREAKING: Wonder Mining Ltd promises 2348% guaranteed returns in 10 months. Immediate investment advised!,2025-01-19,WhatsApp Forward,False,No Official Source,87.6,2025-01-19 18:44:00
132,GoldRush Ventures,BREAKING: GoldRush Ventures promises 3803% guaranteed returns in 7 months. Immediate investment advised!,2024-04-19,Fake Press Release,False,Denial Issued,93.7,2024-04-19 18:59:00
133,Infosys Limited,Infosys Limited announces Cultivate next-generation deliverables worth ₹11103 crores. Project timeline: 1 years.,2024-12-15,BSE Official,True,SEBI EDIFAR,20.7,2024-12-15 09:56:00
134,Super Growth Technologies,BREAKING: Super Growth Technologies promises 3365% guaranteed returns in 5 months. Immediate investment advised!,2024-11-14,Rumor Forum,False,No Official Source,96.1,2024-11-14 09:29:00
135,State Bank of India,State Bank of India announces Iterate user-centric markets worth ₹5022 crores. Project timeline: 4 years.,2024-02-13,Company Filing,True,BSE Website,12.7,2024-02-13 18:18:00
136,Quick Money Corp,BREAKING: Quick Money Corp promises 1006% guaranteed returns in 7 months. Immediate investment advised!,2024-04-14,WhatsApp Forward,False,No Official Source,89.3,2024-04-14 13:22:00
137,Reliance Industries Limited,Reliance Industries Limited announces Benchmark interactive architectures worth ₹18222 crores. Project timeline: 1 years.,2024-07-14,Contract Announcement,True,Ministry of Finance,15.1,2024-07-14 17:03:00
138,Coal India Limited,Coal India Limited announces Generate rich bandwidth worth ₹9485 crores. Project timeline: 3 years.,2024-03-24,Company Press Release,True,Company Portal,21.1,2024-03-24 12:14:00
139,Maruti Suzuki India Limited,Maruti Suzuki India Limited announces Implement impactful e-services worth ₹4058 crores. Project timeline: 3 years.,2025-07-17,Company Press Release,True,SEBI EDIFAR,22.0,2025-07-17 15:00:00
140,Bharti Airtel Limited,Bharti Airtel Limited announces Deliver clicks-and-mortar content worth ₹1912 crores. Project timeline: 2 years.,2025-06-21,NSE Official,True,Company Portal,22.5,2025-06-21 18:51:00
141,Coal India Limited,Coal India Limited announces Implement customized channels worth ₹14946 crores. Project timeline: 2 years.,2025-02-01,Government Press Release,True,NSE Website,22.1,2025-02-01 11:51:00
