id,content,source,fraud_type,risk_score,keywords_found,is_verified_fraud,created_at
16,"LAST CHANCE! IPO subscription closing in 2 hours. Guaranteed 300% listing gains. Transfer ₹1 lakh for confirmed allotment. Slot booking urgent!",Telegram,fake_ipo_scam,92.8,"last chance, guaranteed 300%, confirmed allotment, slot booking urgent",true,2024-08-25 19:20:00
17,"FOREX TRADING ROBOT makes ₹1 lakh daily! 🤖 Fully automated system. No experience needed. Special discount: ₹50000 instead of ₹2 lakhs. Buy now!",Email,forex_robot_scam,87.6,"forex robot, 1 lakh daily, fully automated, special discount",true,2024-08-25 16:05:00
18,"COMMODITY TRADING TIPS! 📊 Our success rate is 95%. Join premium group for ₹25000. Daily profit guarantee. WhatsApp for instant access.",WhatsApp,tip_selling_scam,82.1,"commodity trading, 95% success rate, daily profit guarantee, instant access",true,2024-08-25 13:15:00
19,"BITCOIN INVESTMENT OPPORTUNITY! ₿ Invest ₹1 lakh and get ₹5 lakhs in 90 days. Celebrity endorsed. Government approved. Limited time offer!",Instagram,crypto_scam,89.3,"bitcoin investment, 1 lakh to 5 lakhs, celebrity endorsed, government approved",true,2024-08-25 10:40:00
20,"SHARE BAZAR JACKPOT! 🎰 Win up to ₹50 lakhs by predicting stock prices. Entry fee: ₹5000. Guaranteed prizes for all participants!",Facebook,gambling_disguised_investment,85.7,"share bazar jackpot, win 50 lakhs, entry fee, guaranteed prizes",true,2024-08-24 20:25:00
21,"EARN DAILY INCOME! 💵 Work from home trading crypto. Just invest ₹10000 and withdraw ₹2000 daily. No risk at all!",Telegram,work_from_home_scam,81.9,"earn daily income, work from home, no risk",true,2024-08-24 18:10:00
22,"🔥 HOT STOCK ALERT: Guaranteed 10x returns in one week! DM us for the insider list. Only ₹15000 entry fee.",Instagram,insider_trading_scam,90.1,"10x returns, insider list, entry fee",true,2024-08-24 15:50:00
23,"WIN FREE IPHONE! 🎁 Open demat account with us and get assured iPhone 15 Pro. Limited to first 50 users.",Facebook,giveaway_scam,76.8,"win free iphone, assured gift, limited users",false,2024-08-24 12:30:00
24,"INVEST IN AGRICULTURE LAND! 🌾 Double your money in 40 days. Fully government guaranteed scheme.",WhatsApp,fake_land_scheme,89.9,"double money, government guaranteed, agriculture land",true,2024-08-24 09:45:00
25,"💎 CRYPTO AIRDROP: Get free 1000 USDT tokens by sending 0.1 ETH to wallet 0x12345. Hurry, limited supply!",Twitter,crypto_phishing,95.2,"crypto airdrop, send eth, limited supply",true,2024-08-23 21:15:00
26,"SECRET IPO LIST! 📑 Pay ₹25000 and get insider access to upcoming IPOs. Profit guaranteed 500%+",Email,fake_ipo_scam,88.7,"secret ipo, insider access, profit guaranteed",true,2024-08-23 18:05:00
27,"BANK NOTICE: Your account is blocked 🚫 Verify KYC immediately by clicking http://fakebank.com/kyc",SMS,phishing_scam,97.4,"bank notice, verify kyc, fake link",true,2024-08-23 15:25:00
28,"FLASH DEAL! 💥 Invest ₹50000 in our gold trading scheme and earn ₹2 lakhs in 45 days. RBI approved!",WhatsApp,fake_credentials,84.6,"gold trading, earn 2 lakhs, rbi approved",true,2024-08-23 13:50:00
29,"BECOME MILLIONAIRE! 🤑 Invest ₹2000 in our lucky draw plan. Guaranteed prize every week!",Telegram,gambling_disguised_investment,80.3,"become millionaire, lucky draw, guaranteed prize",false,2024-08-23 11:40:00
30,"Get ₹1 crore health insurance for just ₹500! Call now 987654321. Offer valid for 2 hours!",Facebook,fake_insurance,89.2,"1 crore health insurance, ₹500 only, call now",true,2024-08-22 20:25:00
31,"JOIN OUR PREMIUM SIGNAL GROUP 📈 Success rate 99%. Only ₹15000/month. Get daily calls with sure-shot profits.",Instagram,tip_selling_scam,82.5,"premium signal group, 99% success, daily calls",true,2024-08-22 18:30:00
32,"PENSION SCHEME FRAUD 🚨 Invest ₹1 lakh and get ₹10k monthly pension for life. Govt approved.",WhatsApp,fake_pension_scheme,91.6,"pension scheme, govt approved, lifetime income",true,2024-08-22 15:15:00
33,"EASY LOAN APPROVAL! 💳 Get ₹5 lakhs personal loan at 0% interest. Processing fee ₹3000. Instant transfer.",Email,loan_fraud,93.5,"loan approval, 0% interest, processing fee",true,2024-08-22 11:20:00
34,"NEW BITCOIN MINING APP! ⛏️ Earn ₹10000 daily. Just deposit ₹5000 to activate. Download link: scamcoin.app",Twitter,crypto_scam,86.2,"bitcoin mining, earn daily, deposit to activate",true,2024-08-21 22:05:00
35,"SHARE MARKET JACKPOT 🎰 Predict today’s closing NIFTY level and win ₹10 lakhs. Entry fee ₹2000.",Telegram,gambling_disguised_investment,78.9,"nifty jackpot, win 10 lakhs, entry fee",false,2024-08-21 19:45:00
36,"ALERT! Your PAN card will be deactivated. Verify immediately at http://govt-pan-verify.in",SMS,identity_theft,96.7,"pan card deactivated, verify immediately, fake site",true,2024-08-21 17:10:00
37,"Work 2 hours daily from home! 💼 Earn ₹50000 weekly. No skills required. Join training now ₹2000.",Facebook,work_from_home_scam,81.4,"earn 50000 weekly, no skills required, training fee",true,2024-08-21 14:25:00
38,"Double your crypto instantly! ⚡ Send BTC to wallet 1Abc...xyz and receive 2x back. 100% legit.",Instagram,crypto_phishing,94.8,"double your crypto, send btc, 100% legit",true,2024-08-20 20:40:00
39,"Get verified SEBI license for advisory! Only ₹25000. Limited slots for serious traders.",WhatsApp,fake_license,87.1,"sebi license, limited slots, advisory",true,2024-08-20 18:50:00
40,"EDUCATION LOAN WAIVER 📢 Students pay ₹5000 processing to clear ₹5 lakh loans instantly.",Telegram,loan_fraud,90.4,"loan waiver, processing fee, clear instantly",true,2024-08-20 16:35:00
41,"FOREIGN JOB OFFER! 🌍 Get Dubai job with ₹2 lakh salary. Pay ₹40000 visa fee today.",Email,fake_job_offer,88.5,"dubai job, salary offer, visa fee",true,2024-08-20 14:00:00
42,"LIMITED PRE-IPO ACCESS 🚀 Invest ₹2 lakhs in private companies. Guaranteed 10x listing gains.",WhatsApp,fake_ipo_scam,92.3,"pre-ipo access, guaranteed 10x, private companies",true,2024-08-19 21:15:00
43,"MUTUAL FUND HACK 💹 Our secret portfolio beats market 300%. Entry ₹15000. Join telegram group.",Telegram,fake_alternative_investment,83.7,"mutual fund hack, 300% returns, telegram group",true,2024-08-19 18:05:00
44,"EXCLUSIVE GOLD SCHEME 🪙 Deposit ₹25000 now, get ₹1 lakh gold jewelry free in 60 days.",Facebook,fake_gold_scheme,85.2,"exclusive gold, 1 lakh jewelry, free in 60 days",true,2024-08-19 16:30:00
45,"DONATION FRAUD ⚠️ Support flood victims. Donate ₹5000 to UPI ID floodhelp@upi. 100% tax exempt.",Instagram,charity_scam,89.0,"donate flood victims, upi fraud, tax exempt",true,2024-08-19 13:55:00
46,"ATM BLOCKED 🚨 Your card is suspended. Verify details here: http://atm-support-bank.in",SMS,phishing_scam,97.0,"atm blocked, verify details, fake site",true,2024-08-19 11:25:00
47,"CREDIT CARD FRAUD ALERT! 🛑 Upgrade to platinum by paying ₹2500 fee. Get 5x rewards instantly.",Email,credit_card_upgrade_scam,91.9,"upgrade platinum, pay fee, 5x rewards",true,2024-08-18 20:50:00
48,"PROPERTY INVESTMENT BONANZA 🏠 Invest ₹1 lakh, earn ₹10 lakhs in 1 year. Govt partnership claimed.",WhatsApp,fake_property_scheme,86.4,"property investment, earn 10 lakhs, govt partnership",true,2024-08-18 18:30:00
49,"FOREX JACKPOT 🎲 Deposit ₹20000, earn ₹1 lakh daily trading profits with our AI bot.",Telegram,forex_robot_scam,90.7,"forex jackpot, ai bot, daily trading profits",true,2024-08-18 15:40:00
50,"YOUR PF ACCOUNT IS BLOCKED ⚠️ Verify immediately by paying ₹1500 service fee. Link: http://pf-update.in",SMS,identity_theft,96.3,"pf account blocked, verify, service fee",true,2024-08-18 12:10:00
